,houjin_name,jigyousyo_name,email,phone,website
0,特定非営利活動法人　アフタースクールの会,アフタースクールの会,a.s-2525@s2.dion.ne.jp,03-5926-8300,https://afterschool8300.wixsite.com/website/
1,聖華株式会社,イルカ児童園,irukajidouen@gmail.com,03-6697-9174,https://www.irukajidouen-seika.com/
2,株式会社フューチャージニアス,エントランス池袋教室,info@dlfg-tokyo.org,03-6909-5740,http://dlfg-tokyo.org/
3,株式会社フューチャージニアス,エントランス　G．O．A．T．,info-tokyo@dlfg.org,03-5926-3249,https://dlfg-tokyo.org/
4,ＡＢＡ児童発達支援合同会社,ＡＢＡ児童発達支援・放課後等デイ療育ぷーあーぷー雑司が谷,,03-5924-6422,
5,株式会社オリーブ・コミュニティ,オリーブキッズせんかわ,kids.senkawa@olivecommunity.co.jp,03-5926-7852,http://www.olive-kids.com/
6,株式会社オリーブ・コミュニティ,オリーブキッズせんかわ（重症心身障害児）,kids.senkawa@olivecommunity.co.jp,03-5917-3960,http://www.olive-kids.com/
7,株式会社オリーブ・コミュニティ,オリーブキッズちはや,kids.senkawa@olivecommunity.co.jp,03-5926-5711,http://www.olive-kids.com/
8,株式会社アステル,サクラサク,aster-aoki@hotmail.com,03-6912-1389,
9,一般社団法人ありがとうの種,手話でいきる子どもの児童発達支援・放課後等デイサービス　あ〜とん塾,,03-5980-7140,
10,アニマート・グループ東京株式会社,児童デイサービス・アニマートいけぶくろ,jidoudayikebukuro@animato-llc.net,03-5960-7139,https://www.animato-llc.net/
11,アニマート・グループ東京株式会社,児童デイサービス・アニマートおおつか,jidouday-otsuka@animato-llc.net,03-6903-7250,https://www.animato-llc.net/
12,アニマート・グループ東京株式会社,児童デイサービス・アニマートすがも,jidouday-sugamo@animato-llc.net,03-5972-1987,https://www.animato-llc.net/
13,合同会社ふぉるて,児童発達支援・放課後等デイサービス　ステラ—キッズ,info@stellar-kids.com,03-5906-5899,https://www.stellar-kids.com/
14,株式会社ＣＲＬ,ｓｐａｃｅ　Ｋｉｄ’ｓ大塚,info@crl-space.com,03-5981-9979,https://crl-space.com/
15,株式会社ランウェルネス,ハッピーキッズスペースみんと大塚,mint-otsuka@runwellness.co.jp,03-5961-1022,https://www.runwellness.co.jp/mint/
16,株式会社ラウレア,放課後等デイサービス　ウィズ・ユー落合南長崎,,03-4363-8764,
17,株式会社大倉,放課後等デイサービス　ウィズ・ユー雑司が谷,withyou5168@gmail.com,03-5906-9700,https://www.with-ac.com/shisetu/zoushigaya
18,トリオキャリア株式会社,放課後等デイサービス　コンパスマイル落合南長崎,ochiai-minaminagasaki@triocareer.jp,03-3565-6929,
19,株式会社Ｌｉｇｈｔ　ｈｏｕｓｅ,放課後等デイサービス　ライトハウス,lighthouse0773@outlook.com,0369153694,http://www.ho-kago-lighthouse.com
20,株式会社LITALICOパートナーズ,ＬＩＴＡＬＩＣＯジュニア池袋西口教室,,03-6863-4400,https://junior.litalico.jp/school/tokyo/ikebukuro-nishi/
21,有限会社エム・エイチ・ケイ,ワールドキッズひよこ椎名町,e.mhk2003@gmail.com,03-6657-0777,https://worldkids.jp/shinamachi
