,houjin_name,jigyousyo_name,email,phone,website
0,社会福祉法人　新潟太陽福祉会,おひさま,ohisama@niigata-taiyo.com,025-258-6337,https://niigata-taiyo.com
1,特定非営利活動法人てるいんとこ,てるいんとこ,teruintoko@gmail.com,025-384-8535,http://teruintoko.wix.com
2,特定非営利活動法人てるいんとこ,てるいんとこ　にこにこ,teruin.nico@gmail.com,025-388-3598,http://teruintoko.wix.com
3,有限会社里の和,ピンポン,pinpon@satonowa.jp,025-384-4892,http://satonowa.jp/
4,社会福祉法人　愛宕福祉会,ららら　ドリーム,rarara.dream@atago.or.jp,025-384-0215,
5,株式会社 ＧＲＯＷ,キッズデイサービス らくだ,hinode@grow-rakuda.com,025-256-8461,http://www.rakuda-grow.com
6,一般社団法人　医療福祉研究会,ＳＰＡＲＫ　ＳＴＵＤＩＯ　山木戸,,025-282-7707,
7,一般社団法人 ななふく福祉会,ななふくクラブ,nanafuku.7729@chorus.ocn.ne.jp,025-250-5650,http://nana-fuku.com/
8,株式会社 シーエスシー,ハッピーハート新潟東,,025-385-6838,
9,社会福祉法人 新潟もぐら会,ハロー・キッズ,h-kids0994-n.m@clock.ocn.ne.jp,025-274-3265,https://h-kids.jimdo.com/
10,社会福祉法人いぶきサポート協会,ばんびくらぶ,banbi@ibukisupport.jp,025-385-6133,http://ibukisupport.jp/facilities/bambiclub
11,社会福祉法人いぶきサポート協会,東ぽっぷこ〜んクラブ,h.pop@ibukisupport.jp,025-271-9124,http://ibukisupport.jp/facilities/higashipop
12,社会福祉法人 亀田郷芦沼会,Ｂｅトゥインクル,to-incl.hgrk@ashinuma.com,025-270-0755,http://www.ashinuma.com/
13,ライフサポートクリエーション株式会社,放課後等デイサービスオハナ東,,025-384-4869,
14,社会福祉法人 亀田郷芦沼会,ほがらか福祉園トゥインクル,to-incl.hgrk@ashinuma.com,025-271-1140,http://www.ashinuma.com/
15,株式会社 ＧＲＯＷ,キッズデイサービス らくだ 長潟店,nagata@grow-rakuda.com,025-290-7092,http://www.rakuda-grow.com
16,株式会社クラ・ゼミ,こどもサポート教室「きらり」姥ケ山校,kirari.ubagayama@kurazemi.co.jp,025-250-1412,https://kirari-kodomo.com/
17,株式会社クラ・ゼミ,こどもサポート教室「きらり」はくさん校,,025-201-6226,
18,株式会社クラ・ゼミ,こどもサポート教室「きらり」女池神明校,kirari.meike@kurazemi.co.jp,025-288-5026,https://kirari-kodomo.com/
19,一般社団法人 医療福祉研究会,スパークエクサＪｏｙ Ｋｉｄ’ｓ白山,,025-282-7707,http://www.joy-kids.or.jp/
20,新潟県,新潟県はまぐみ小児療育センター,,025-266-0151,
21,株式会社 シーエスシー,ハッピーハート新潟中央,,025-278-7945,
22,社会福祉法人いぶきサポート協会,附属ぽっぷこ〜んクラブ,f.pop.izuno@gmail.com,025-223-8397,http://ibukisupport.jp/facilities
23,ライフサポートクリエーション株式会社,放課後等デイサービスオハナ魁,,025-211-4656,
24,ライフサポートクリエーション株式会社,放課後等デイサービスオハナ女池,,025-383-6586,
25,特定非営利活動法人音楽ネットワーク,放課後等デイサービス　どみそ,houday.domiso@nifty.com,025-282-7308,
26,一般社団法人うぃんぐ,ら.うぃんぐ,la.wing@sky.plala.or.jp,025-384-4478,https://www.la-wing-cheerup.com
27,株式会社ライフデザイン,りるの空,rirunosora1@aroma.ocn.ne.jp,025-250-5303,http://lifedesignathome.jp
28,株式会社　ＮＥＸＴ　ＣＡＲＥ　ＳＥＲＶＩＣＥ,I Room 亀田,i-room.kameda@nextcareservice.com,025-385-6722,http://nextcareservice.com//
29,株式会社C.A.R.E.,エコ,info@eco-niigata.net,025-382-0007,http://www.eco-niigata.net
30,株式会社C.A.R.E.,ecoインターナショナル,inter@eco-niigata.net,025-382-0005,http://www.eco-niigata.net
31,社会福祉法人　中蒲原福祉会,こめっと,nexus.wakaba@giga.ocn.ne.jp,025-278-8752,
32,株式会社　シーエスシー,ハッピーハート,happyheart-terao@hotmail.com,025-385-7710,http://www.happy-heart.club/index.html
33,特定非営利活動法人ギフト,放課後等デイサービス　アソビバ,asoviva@gift-mama.net,025-384-8950,
34,株式会社　ＮＥＸＴ　ＣＡＲＥ　ＳＥＲＶＩＣＥ,I Room 荻川,i-room.ogikawa@nextcareservice.com,0250-47-8831,http://nextcareservice.com/
35,株式会社C.A.R.E.,E.C.O.キッズアカデミー,kids@eco-niigata.net,0250-23-0005,http://www.eco-niigata.net
36,株式会社C.A.R.E.,E.C.O.ジュニアアカデミー,,0250-23-1005,
37,社会福祉法人　親和福祉会,ララスマイル,lala@shinwa-fukushi.jp,0250-23-4001,http://www.shinwa-fukushi.jp/
38,株式会社Ｓｎｕｇ　Ｌｉｆｅ,あっとほーむ,info@atto-chan.com,025-373-3936,
39,株式会社Ｓｎｕｇ　Ｌｉｆｅ,あっとほーむ　高井東,takaihigashi-info@atto-chan.com,025-211-3522,
40,特定非営利活動法人ゆうーわ,ぷ　あ　ぷ,puapu@plala.or.jp,025-211-8025,
41,社会福祉法人笑顔の会,エンジェルRing,info@angel-ring.club,025-211-2068,http://angel-jrk.com/
42,社会福祉法人いぶきサポート協会,かなで,kanade@ibukisupport.jp,025-211-4848,http://ibukisupport.jp/facilities/kanade
43,独立行政法人国立病院機構西新潟中央病院,国立病院機構西新潟中央病院「あかしあ」,,025-265-3171,
44,株式会社クラ・ゼミ,こどもサポート教室「きらり」新潟西校,kirari.niigatanishi@kurazemi.co.jp,025-378-6808,https://kirari-kodomo.com/
45,株式会社真友社,真友サークル西療育センター,ishida@shinyusya.jp,025-378-1035,http://sub664.wixsite.com/shinyucircle
46,一般社団法人　医療福祉研究会,ＳＰＡＲＫＳＴＵＤＩＯ青山,k_kera@aigo-care.com,025-211-2355,http://www.joy-kids.or.jp/
47,株式会社　シーエスシー,ハッピーハート新大前,happyheart-terao@hotmail.com,025-378-3955,http://www.happy-heart.club/index.html
48,株式会社　シーエスシー,ハッピーハート寺地,,025-378-2435,http://www.happy-heart.club/index.html
49,株式会社　シーエスシー,ハッピーハート真砂,,025-378-4703,
50,特定非営利活動法人学童保育にしっ子,放課後等デイサービス　にしっ子,gakudou-nishikko@outlook.jp,025-201-8535,
51,社会福祉法人いぶきサポート協会,西ぽっぷこ〜んクラブ,n.pop@ibukisupport.jp,0256-73-3372,http://ibukisupport.jp/facilities/nishipop
52,株式会社ファースト・ブレイン,放課後等デイサービス　巻わくわくクラブ,wakuwaku.maki2019@gmail.com,0256-78-7781,https://www.fbwakuwaku.com
